App,ID,Author,Date,Rating,Helpful Count,Review,,,
Excel,1,scott bunnter,4-Oct-20,1,159," Full disclaimer, I have only used for 15 minutes so far. Found it awkward to navigate, it glitches very often and ""pauses"" the app so you can't do anything. Has crashed 5 times already. Other than that being free it's quite a handy app, but, I would not pay for it with these bugs. Edit: now used for...Full ReviewFull disclaimer, I have only used for 15 minutes so far. Found it awkward to navigate, it glitches very often and ""pauses"" the app so you can't do anything. Has crashed 5 times already. Other than that being free it's quite a handy app, but, I would not pay for it with these bugs. Edit: now used for few days... It's gone from 3 to 1 star.. impossible to use",,,
Excel,2,Carol Nassar,26-Sep-20,3,446," Works on android. The app is pretty good for a freebie, but the recent update caused problems. Updates to a file did not autosave. I lost it all. Then I noticed, when i reentered, that there used to be a disk on top that would tell you when the current file had the changes saved. It is no longer the...Full ReviewWorks on android. The app is pretty good for a freebie, but the recent update caused problems. Updates to a file did not autosave. I lost it all. Then I noticed, when i reentered, that there used to be a disk on top that would tell you when the current file had the changes saved. It is no longer there. Big loss, considering I lost my last updates to a file. The ability to change the row width could be better, but it works if you try enough. Wish they would format of blocks of cells at once.",,,
Excel,3,Bradley Hopkins,30-Sep-20,4,229," This app is a fairly good replacement for using Excel on a PC, but there are a few quality-of-life features that are missing from this version that I would like to see, with the main ones being the difficulty of selecting groups of cells and the limited ability to zoom out. Still, I am appreciative ...Full ReviewThis app is a fairly good replacement for using Excel on a PC, but there are a few quality-of-life features that are missing from this version that I would like to see, with the main ones being the difficulty of selecting groups of cells and the limited ability to zoom out. Still, I am appreciative that this platform exists on Chrome OS and I am still able to get all my work done reasonably well, so I'm only taking off one star.",,,
Excel,4,Jason Ducharme,3-Oct-20,5,110," Sheets and Calc are good. Excel still is the industry de facto standard for spreadsheets, and I doubt that will change anytime soon. It's feature rich and I still haven't mastered Pivot Tables, darn it, but you can get simple things done quickly, and complicated things done with a little more effort...Full ReviewSheets and Calc are good. Excel still is the industry de facto standard for spreadsheets, and I doubt that will change anytime soon. It's feature rich and I still haven't mastered Pivot Tables, darn it, but you can get simple things done quickly, and complicated things done with a little more effort. All in all, it's one of the best and most recognized industry software titles out there. I don't think you'll go wrong choosing Excel for your spreadsheet application.",,,
Excel,5,Courtney Barry,19-Sep-20,5,516," Most of the power of the desktop version. Still discovering all of this apps features. I do use Excel on multiple devices (all Android, all Samsung). For a simple quick fix to a spreadsheet, the phone is fine. I have Samasung Galaxy S8. The only reason I say for quick fixes is because of the screen ...Full ReviewMost of the power of the desktop version. Still discovering all of this apps features. I do use Excel on multiple devices (all Android, all Samsung). For a simple quick fix to a spreadsheet, the phone is fine. I have Samasung Galaxy S8. The only reason I say for quick fixes is because of the screen size not necessarily because of the functionality of Excel on the phone. Saving to OneDrive always quick access between devices. Works best for me on my Samsung TabA.",,,
Excel,6,chansiudick alfred,30-Sep-20,1,63," I save several file. I can open it for a few days, but all of a sudden, all file can't be open. This happen repeatedly, this is not a one time problem. Update, not help. Using another device to open, not help. I spend money for Microsoft product because of the quality of product. However, I can't ev...Full ReviewI save several file. I can open it for a few days, but all of a sudden, all file can't be open. This happen repeatedly, this is not a one time problem. Update, not help. Using another device to open, not help. I spend money for Microsoft product because of the quality of product. However, I can't even open the files now.",,,
Excel,7,Robert Wright,20-Sep-20,5,236," Great spreadsheet app! I've been using it on my Android Samsung Galaxy Note (2, 4, & 8) phone(s) for a decade or more. I also have it on my Nexus 7 tablet and have/had a version of it on my various laptop computers. I save files on Onedrive for easy access from all these platforms.",,,
Excel,8,Daniel,23-Sep-20,1,371, I have been using Excel for a number of years. I was very satisfied with the basic addition. Microsoft has found it necessary to require a subscription to create and edit spreadsheets. The convenience of using a tablet or phone is no longer an option using Excel. I am forced to use another product s...Full ReviewI have been using Excel for a number of years. I was very satisfied with the basic addition. Microsoft has found it necessary to require a subscription to create and edit spreadsheets. The convenience of using a tablet or phone is no longer an option using Excel. I am forced to use another product such as WPS. Very disappointing. Forced to Uninstaller. Greed?,,,
Excel,9,Robert W,30-Sep-20,5,71," I used the desktop version of Excel for many years at different companies, and it greatly helped my productivity. Though the desktop and mobile Excel designs differ in how their tools are accessed, they both offer the same familiar spreadsheet design with its powerful, versatile functions and format...Full ReviewI used the desktop version of Excel for many years at different companies, and it greatly helped my productivity. Though the desktop and mobile Excel designs differ in how their tools are accessed, they both offer the same familiar spreadsheet design with its powerful, versatile functions and formatting. Based on my use of the app so far, I am quite pleased!",,,
Excel,10,Allan Bernabe,30-Sep-20,4,220," MS finally answered my request. One, is to give us a ""TAB"" function to move to next cell after input, much like on PC or WPS android, but better"," MS gave us forward and backward functions. Kudos to MS for that. Two, the whole bottom band was cleared up to provide wider area for handling multiple she...Full ReviewMS finally answered my request. One, is to give us a ""TAB"" function to move to next cell after input, much like on PC or WPS android, but better"," MS gave us forward and backward functions. Kudos to MS for that. Two, the whole bottom band was cleared up to provide wider area for handling multiple sheets making Excel finally usable on phone. But one more improvement can be done. The ""+"" button on the right can be made to handle both ""add new sheets"" AND drop list of existing sheets. NEXT update?",
