App,ID,Author,Date,Rating,Helpful Count,Review,,,,
Facebook,1,Irish Summer,23-Sep-20,1,1647," Pages that I stopped following years ago suddenly appear in my liked pages. Can't unlike them again as they no longer exist but are still showing in my liked pages. How can that be? They just appeared recently. Pretty shocking. Now my profile is full of pages that I don't no longer like and most of ...Full ReviewPages that I stopped following years ago suddenly appear in my liked pages. Can't unlike them again as they no longer exist but are still showing in my liked pages. How can that be? They just appeared recently. Pretty shocking. Now my profile is full of pages that I don't no longer like and most of which don't even exist anymore. Very poor. Won't be liking or following any more pages now, don't want them to be stuck on my profile for life.",,,,
,2,MissTree,27-Sep-20,4,3248," Hello. Usually push notifications work. Past couple of days of this review, they haven't been showing up (the bell). Thank you. Hope this is fixed. Nothing wrong with my settings. Update Sunday September 27: Thank you for fixing this. Working again. Gave 4 stars. Would of been 5 if done sooner. Than...Full ReviewHello. Usually push notifications work. Past couple of days of this review, they haven't been showing up (the bell). Thank you. Hope this is fixed. Nothing wrong with my settings. Update Sunday September 27: Thank you for fixing this. Working again. Gave 4 stars. Would of been 5 if done sooner. Thank you",,,,
,3,Suzanne Achenbach,9-Sep-20,5,2230," I will absolutely give you my experience on Google facebook. I have had no problem with it. My problem comes when another network gets unto my Google account. I can only believe they come through the back door. They just say facebook. It is during set up that something does not seen right. If you do...Full ReviewI will absolutely give you my experience on Google facebook. I have had no problem with it. My problem comes when another network gets unto my Google account. I can only believe they come through the back door. They just say facebook. It is during set up that something does not seen right. If you don't catch it, you lose friends, information and all your important things. Believe me when I say Google is the best. Stay with them and don't let any other network Hijack you from Google. ☆☆",,,,
,4,Lorraine Zagorski,26-Sep-20,1,250," This app no longer displays correctly on a tablet since last update. It displays as if it is installed on a mobile phone. Clearing cache and data resolves the problem but after about an hour it reverts. Worked fine for years and now it's broken. ""this app may not be optimised for your device""?? This...Full ReviewThis app no longer displays correctly on a tablet since last update. It displays as if it is installed on a mobile phone. Clearing cache and data resolves the problem but after about an hour it reverts. Worked fine for years and now it's broken. ""this app may not be optimised for your device""?? This was fixed and now have the same problem again since last update.",,,,
,5,Bryan Williams,22-Sep-20,2,3363," The most battery-draining and data-eating app on my phone, even when I don't open it. The fb app runs constantly in the background, and there's no way to really shut it off. Even after restarting the phone and not opening the app for days, it was still using more CPU, more battery, and more data tha...Full ReviewThe most battery-draining and data-eating app on my phone, even when I don't open it. The fb app runs constantly in the background, and there's no way to really shut it off. Even after restarting the phone and not opening the app for days, it was still using more CPU, more battery, and more data than any other app or background service on my phone. I finally uninstalled it, and my phone is like new! FB seriously needs to give us a setting that prevents it from ever running in the background.",,,,
,6,Jenevive Morgan,23-Sep-20,3,267," I have tried everything to get units to work in my group. It keeps giving me an error code saying 'something went wrong' under group units. I've Uninstalled & reinstalled this ap over & over again & still get an error code. I'm not sure why units doesn't work in my group? I'm just tired of having to...Full ReviewI have tried everything to get units to work in my group. It keeps giving me an error code saying 'something went wrong' under group units. I've Uninstalled & reinstalled this ap over & over again & still get an error code. I'm not sure why units doesn't work in my group? I'm just tired of having to do this again & again. Now, no matter what I do it won't work at all. I've done everything suggested. Very frustrating!!",,,,
,7,Neptune Rose,17-Sep-20,1,839," There needs to be ability to click on any photo you see and have the option to ""make profile picture"" instead of just have the one option to ""make cover photo."" I get reminders of photos from 8 years ago that I would like to make pro picture and I cant because I have to find it in album to do that! ...Full ReviewThere needs to be ability to click on any photo you see and have the option to ""make profile picture"" instead of just have the one option to ""make cover photo."" I get reminders of photos from 8 years ago that I would like to make pro picture and I cant because I have to find it in album to do that! Change featured photos back to the way it was. I like to be able to click on their profile and just see all the feature photos right there without having to click or wait to scroll through them.",,,,
,8,Catherine Priestley,24-Sep-20,1,9986," This app is unbelievably unreliable. Half the time it works ok, but even when it works, it won't load links from other pages or notifications. The other half of the time it won't load anything regardless of whether you're on mobile data or WiFi. A lot of times seems to only rely on my mobile data co...Full ReviewThis app is unbelievably unreliable. Half the time it works ok, but even when it works, it won't load links from other pages or notifications. The other half of the time it won't load anything regardless of whether you're on mobile data or WiFi. A lot of times seems to only rely on my mobile data connection and not my Wi-Fi, only loading things when mobile data connection is good. Also sometimes randomly freezes and has to be shut down for no reason. Sometimes needs me to relogin for no reason.",,,,
,9,Rosanne Joy,12-Sep-20,2,3847," I really wish they'd stop messing about with this app. I loved the old Facebook of a few years ago. But since then there have been two major rewrites of the site and it's very disconcerting. Especially as each time it has been made more complex and less simple to use and enjoy. The whole thing with ...Full ReviewI really wish they'd stop messing about with this app. I loved the old Facebook of a few years ago. But since then there have been two major rewrites of the site and it's very disconcerting. Especially as each time it has been made more complex and less simple to use and enjoy. The whole thing with stories and archives and timelines (I can never find mine!) is a big time waster. Message to Facebook management: Hey guys: If it ain't broke, DON'T FIX IT!!",,,,
,10,Rhea Chakraborty,8-Sep-20,1,2908," After the latest update, I'm having so many problems on the app. Here are a few listed: 1. Can't share anything on the app. 2. New notifications doesn't appear. 3. If I like or react something on my feed, the reaction goes onto a different post. Those are my problems. Don't know what other problems ...Full ReviewAfter the latest update, I'm having so many problems on the app. Here are a few listed: 1. Can't share anything on the app. 2. New notifications doesn't appear. 3. If I like or react something on my feed, the reaction goes onto a different post. Those are my problems. Don't know what other problems people are facing. Please fix in the next update ASAP.",,,,
,11,Brian Lovato,10-Sep-20,3,2775," Otherwise ok except for the repetition in ads, some of which cannot be blocked. Please take this into serious consideration: to have ads disrupting my browsing experience irks me, especially when the same blocked ads show up time and again. I might be in the minority, but I would seriously consider ...Full ReviewOtherwise ok except for the repetition in ads, some of which cannot be blocked. Please take this into serious consideration: to have ads disrupting my browsing experience irks me, especially when the same blocked ads show up time and again. I might be in the minority, but I would seriously consider an ad-free experience for a modest per-month charge. Consider it a win-win... FB gets paid, I get my ad-free experience . Again, I would be ok with such a subscription plan.",,,,
,12,Andrew Garner,22-Sep-20,1,309, I think there is a Facebook glitch going on. It keeps logging me out for no reason. It started this morning I got an email saying someone tried accessing my Facebook at 12:59 at midnight. But my Facebook password and info like my email was not changed. I logged in with no problem. But I did change m...Full ReviewI think there is a Facebook glitch going on. It keeps logging me out for no reason. It started this morning I got an email saying someone tried accessing my Facebook at 12:59 at midnight. But my Facebook password and info like my email was not changed. I logged in with no problem. But I did change my password just in case. I also have two step verification as well. But if this is a glitch within the app in needs to be fixed ASAP because it's annoying.,,,,
,13,Earl of the Carolinas,23-Sep-20,2,2850," Overall from being a user of this social media platform for almost 10 years, I can say much has changed. Some not for the better. There are clear violations of speech an press, as well as biased political content. If you don't have a Facebook page an don't need one, I wouldn't reccomend it. Its addi...Full ReviewOverall from being a user of this social media platform for almost 10 years, I can say much has changed. Some not for the better. There are clear violations of speech an press, as well as biased political content. If you don't have a Facebook page an don't need one, I wouldn't reccomend it. Its addictive as drugs, and can rot your mind. Stay away from this one.",,,,
,14,Destiny Jackson,23-Sep-20,1,291," As an android user it's frustrating that the app has so many missing pieces. When attempting to add pictures to an album on a page I manage, there is no ""+"" or anything clickable to do so. It's like the app forgot entirely to place a button! I have to log in through my browser, which I shouldnt have...Full ReviewAs an android user it's frustrating that the app has so many missing pieces. When attempting to add pictures to an album on a page I manage, there is no ""+"" or anything clickable to do so. It's like the app forgot entirely to place a button! I have to log in through my browser, which I shouldnt have to do! Additionally because I've been listed as an admin on a page, I dont have the option to post comments on the page as myself! It sets it automatically as me responding as the page.",,,,
,15,Slender Yolo08,28-Sep-20,1,96, I damaged my phone and am unable to see the screen. So I got a new phone and transferred over the same sim to the new phone. I have tried to login to my account multiple times but was unable to. I reset my password several times but it keeps asking for a verification code that it won't send to the s...Full ReviewI damaged my phone and am unable to see the screen. So I got a new phone and transferred over the same sim to the new phone. I have tried to login to my account multiple times but was unable to. I reset my password several times but it keeps asking for a verification code that it won't send to the same number I have on my account. I have filled out the form and have awaited a response by email or text and have not received a resolution. Fix this Facebook.,,,,
