App,ID,Author,Date,Rating,Helpful Count,Review,,,,
Wordpress,1,ioana nedelcu,17-Sep-20,3,109," When editing longer posts, the app freezes and either doesn't let you add another paragraph, either you can continue on writing, but you can see what you write while doing it. Also, why isn't there the possibility to add an Custom Html block from the mobile app? It's really frustrating to have to sw...Full ReviewWhen editing longer posts, the app freezes and either doesn't let you add another paragraph, either you can continue on writing, but you can see what you write while doing it. Also, why isn't there the possibility to add an Custom Html block from the mobile app? It's really frustrating to have to switch from phone to PC, because each version has its options. In general was good, but with these problems, it's just become very iritating.",,,,
,2,Jacob Richardson,3-Oct-20,5,19," Cool app, if it allows you to make a legitamit site, I only wish it would have described the difference between the capability differeces when it comes to devices, for example all off the features you dont get when u dont own a computer, and it was almost impossible to get a refund after spending bu...Full ReviewCool app, if it allows you to make a legitamit site, I only wish it would have described the difference between the capability differeces when it comes to devices, for example all off the features you dont get when u dont own a computer, and it was almost impossible to get a refund after spending buttloads by accident on a bussiness account",,,,
,3,Jason Wilkerson,20-Sep-20,3,46," I just started using the mobile app today and I'm finding it to be very glitchy. When I try to change text to italics, for example, it takes forever to register. I often have to save the document, exit, then go back in to continue. Sometimes when I do this however, it doesn't retain the changes. Jus...Full ReviewI just started using the mobile app today and I'm finding it to be very glitchy. When I try to change text to italics, for example, it takes forever to register. I often have to save the document, exit, then go back in to continue. Sometimes when I do this however, it doesn't retain the changes. Just now I've tried saving three times and text that I had deleted is still appearing in the draft.",,,,
,4,Rick Steeves,17-Sep-20,1,4," If your connectivity is spotty (the reason I want the app in the first place) it can get confused. Failures to upload media are common, even for intentionally reduced media files. I've had the app duplicate media as well (part of confused). R keep trying to upload and failing. I've even lost entire ...Full ReviewIf your connectivity is spotty (the reason I want the app in the first place) it can get confused. Failures to upload media are common, even for intentionally reduced media files. I've had the app duplicate media as well (part of confused). R keep trying to upload and failing. I've even lost entire posts.",,,,
,5,Saksham Bhatnagar,20-Sep-20,1,8," Changing paragraphs is a task for this app. You press enter and it struggles to shift the text to a new block and/or paragraph. It struggles with formatting text to bold, taking several seconds to register the button press. The text box too doesn't always expand as you type, so you'll often end up n...Full ReviewChanging paragraphs is a task for this app. You press enter and it struggles to shift the text to a new block and/or paragraph. It struggles with formatting text to bold, taking several seconds to register the button press. The text box too doesn't always expand as you type, so you'll often end up not being able to see what you just typed, not for several seconds, and sometimes almost a minute later!",,,,
,6,Dolor Abigail,20-Sep-20,2,32," Am just frustrated right now. After I updated the app, it has been a mess. Prior to the update, when typing, after about four or five lines, I don't get to see what am typing anymore until fee minutes later. Now, that have updated, is even worst. It takes approximately two to three minutes before I ...Full ReviewAm just frustrated right now. After I updated the app, it has been a mess. Prior to the update, when typing, after about four or five lines, I don't get to see what am typing anymore until fee minutes later. Now, that have updated, is even worst. It takes approximately two to three minutes before I can add a new block to my post. Which is absolutely frustrating. I wish I could unupdate. I can't wait every two minutes just to create a block? How can I finish my post in such waste of time?",,,,
,7,Callum Marshall,14-Sep-20,3,25," Hit and miss This app is great, especially as a freelance writer that likes to work while out and about. However, the one gripe I have about the service is that as you write longer pieces, the app won't be able to handle it and will crash, not allow you to see the text that you are typing or simply ...Full ReviewHit and miss This app is great, especially as a freelance writer that likes to work while out and about. However, the one gripe I have about the service is that as you write longer pieces, the app won't be able to handle it and will crash, not allow you to see the text that you are typing or simply not allow you to make a new block to write further. You can get around it by constantly saving and reentering the draft after every paragraph but it adds unnecessary work time to my articles.",,,,
,8,Autumn,24-Sep-20,1,38," I give this app one star now. I see almost everyone else here is experiencing the same problems, and getting the same response with no solutions. It's your app", use it yourself and see what's happening. And how are screenshots supposed to help? A screenshot would only show you text," it wouldn't show...Full ReviewI give this app one star now. I see almost everyone else here is experiencing the same problems, and getting the same response with no solutions. It's your app", use it yourself and see what's happening. And how are screenshots supposed to help? A screenshot would only show you text," it wouldn't show the app freezing, cursors jumping, text disappearing, formatting taking several minutes to register, etc. And no, not everyone has time to video-record their work being wasted."
,9,Treasa Cailleach,19-Sep-20,4,50," I have been using wordpress for 4 yrs and generally love it. But the most recent changes (mobile app) has caused glitches of a variety. It no longer handles long posts well, and will freeze, loose text, and crash all together. Even in shorter posts it can hang up switching/adding blocks, and sometim...Full ReviewI have been using wordpress for 4 yrs and generally love it. But the most recent changes (mobile app) has caused glitches of a variety. It no longer handles long posts well, and will freeze, loose text, and crash all together. Even in shorter posts it can hang up switching/adding blocks, and sometimes drops portions of text. Initially I thought it was just me, but I see here with other comments I am not alone. I do wish I could uninstall just the last update as it was working fine prior.",,,,
,10,Jamie nixon,22-Sep-20,3,2," I used to love your site but lately not so much. Since updating my app I have trouble posting my content. It slow to load and at times won't allow me to start a new paragraph. I think it needs to be looked into ,since WordPress is how I post my articles and short stories for work.",,,,
