App,ID,Author,Date,Rating,Helpful Count,Review,,,,,,
Youtube,1,Jerry Bozeman,28-Sep-20,5,3910," This app usually works great, my favorite app. I purchased YouTube Premium with Google Pay, I knew it was good because I had it on my last phone. For almost a week now though there is no sound on the videos, and can't get in touch with Google for help. YouTube chat couldn't help. Lot of things on ph...Full ReviewThis app usually works great, my favorite app. I purchased YouTube Premium with Google Pay, I knew it was good because I had it on my last phone. For almost a week now though there is no sound on the videos, and can't get in touch with Google for help. YouTube chat couldn't help. Lot of things on phone that is strange. I'm going to give it until the end of the day, then have no choice but to get rid of this phone. Shame, I really like it too.",,,,,,
Youtube,2,David,28-Sep-20,3,1781," I truly want the platforms I use to generate income, they deserve it. The app has a gold mine of content and is undoubtedly ahead of the game. But the adverts have become so frequent, long and irritating that it's become mentally draining to use. Im calling my phone a @#&£ when relaxing to music in ...Full ReviewI truly want the platforms I use to generate income, they deserve it. The app has a gold mine of content and is undoubtedly ahead of the game. But the adverts have become so frequent, long and irritating that it's become mentally draining to use. Im calling my phone a @#&£ when relaxing to music in the bath and two forced adverts kick off or the dreaded are you still watching. I don't need that kind of stress. 3 stars purely for the content would be 5 if you could reign it in a bi",,,,,,
Youtube,3,Jerrica Busby,29-Sep-20,1,2348," We have used Youtube for litterally decades. One of the best apps with the least issues, problems were very rare. Now over the last 2weeks using the app simply is not pleasurable, specifically casting to TV/device. To perform a single action, play, or jump to a spot takes at least two taps. The func...Full ReviewWe have used Youtube for litterally decades. One of the best apps with the least issues, problems were very rare. Now over the last 2weeks using the app simply is not pleasurable, specifically casting to TV/device. To perform a single action, play, or jump to a spot takes at least two taps. The functions simply dont work on first command. Layout with small comment sections worse too. Awful app now.",,,,,,
Youtube,4,mike hill,28-Sep-20,1,193," Bruv, what went wrong? I upgraded to the S20 Ultra with every update installed, can't even use mini player/screen on screen. It'll fully freak out and then I can't even resume the video. Happens every time I'm in landscape mode then open a notification straight from the notification bar. Sometimes I...Full ReviewBruv, what went wrong? I upgraded to the S20 Ultra with every update installed, can't even use mini player/screen on screen. It'll fully freak out and then I can't even resume the video. Happens every time I'm in landscape mode then open a notification straight from the notification bar. Sometimes I even have to turn my phone off just to close it. It's fully broken.",,,,,,
Youtube,5,Shyamala Rye,29-Sep-20,1,134," Removed crowd-source captions option, which is awful not just for people who consume content around the world (which for a global app, that means practically everyone - we don't all just consume entertainment in our own language, you know?), but ESPECIALLY for deaf and hard-of-hearing people everywh...Full ReviewRemoved crowd-source captions option, which is awful not just for people who consume content around the world (which for a global app, that means practically everyone - we don't all just consume entertainment in our own language, you know?), but ESPECIALLY for deaf and hard-of-hearing people everywhere. And on Deaf Awareness Week? Yikes. How exclusionary to so many people around the world! Awful choice.",,,,,,
Youtube,6,Himanshu Joiya,28-Sep-20,2,112," The app was working fine for me but ever since last update, sometimes when i open the app it just keeps reloading and nothing else for about 5 or 10 minutes, also it automatically switches the resolution to 144p sometimes even when i have 4G active and the only two resolution options i see are 144p ...Full ReviewThe app was working fine for me but ever since last update, sometimes when i open the app it just keeps reloading and nothing else for about 5 or 10 minutes, also it automatically switches the resolution to 144p sometimes even when i have 4G active and the only two resolution options i see are 144p or 720p. Its a real pain when you have lectures to attend and either of this happen. Please fix this whenever you can.",,,,,,
Youtube,7,Gregory S Mann,28-Sep-20,1,116," 1st it's tcalled volumization, making all videos the same playback volume. It's past time for you to fix this simple longterm issue. For listening to music/meditation its WORTHLESS. It stops calming music to present COMMERCIALS, every 3 minutes. This app was FREE of all, no Commercials, and as a bet...Full Review1st it's tcalled volumization, making all videos the same playback volume. It's past time for you to fix this simple longterm issue. For listening to music/meditation its WORTHLESS. It stops calming music to present COMMERCIALS, every 3 minutes. This app was FREE of all, no Commercials, and as a beta supporter I feel ripped off. Totally disappointed with all of it. Though im sure my opinion is worthless to the greedy mongers who use your music and videos for profit.",,,,,,
Youtube,8,Justin Sialloa,29-Sep-20,4,105," YouTube is the best app to watch videos . I enjoyed it so much. It's a great app but there's something wrong with this. I should have rated a 5 stars if all the videos are allowed to download. Some can be downloaded but others like songs, etc. are not . I would like the YouTube owner to fix this pro...Full ReviewYouTube is the best app to watch videos . I enjoyed it so much. It's a great app but there's something wrong with this. I should have rated a 5 stars if all the videos are allowed to download. Some can be downloaded but others like songs, etc. are not . I would like the YouTube owner to fix this problem for better using",,,,,,
Youtube,9,Kyle Lagerstrom,28-Sep-20,1,231," App freezes and won't load anything after a few videos, or when leaving the app and returning. Constantly closing the app to get videos to play again, if but for a short while. Extremely annoying. Restarting, clearing data and clearing cache doesnt work. Lots of other people with the same issues, no...Full ReviewApp freezes and won't load anything after a few videos, or when leaving the app and returning. Constantly closing the app to get videos to play again, if but for a short while. Extremely annoying. Restarting, clearing data and clearing cache doesnt work. Lots of other people with the same issues, no solutions it seems.",,,,,,
Youtube,10,kieran 5656,28-Sep-20,2,91," Constantly closes down the app on TV whilst streaming if I discconectmy my phone. Songs come up saying unavailable on YouTube music but the exact same video is available on regular YouTube. Takes me forever to scroll to the bottom of my playlist. And, if I don't want to start my playlist from the be...Full ReviewConstantly closes down the app on TV whilst streaming if I discconectmy my phone. Songs come up saying unavailable on YouTube music but the exact same video is available on regular YouTube. Takes me forever to scroll to the bottom of my playlist. And, if I don't want to start my playlist from the beginning on the TV app, the only way around it is to play the playlist, scroll through the playlist on the play next section, choose the last song until it eventually shows the song you want to start",,,,,,
Youtube,11,James Minter,28-Sep-20,1,96, I've grown up with youtube and I have seen it change drastically. I will no longer use this app because it's a far cry of what it used to be. This is just an app utilized for corporate greed. Your ads are repetitive and a huge nuisance not mention they publicly advertise things that aren't accurate ...Full ReviewI've grown up with youtube and I have seen it change drastically. I will no longer use this app because it's a far cry of what it used to be. This is just an app utilized for corporate greed. Your ads are repetitive and a huge nuisance not mention they publicly advertise things that aren't accurate but youtube doesn't care because they get paid to play them. They don't work on me because I'm an adult now but I can only imagine how many times these kids have fallen victim to the predatorial ads.,,,,,,
Youtube,12,fernando pimentel,29-Sep-20,1,86," I used to be able to buy movies on google play, pay with my at&t account, and watch them on youtube on my ps4 or anything else with youtube app, all my existing purchases are still there but any new purchases DO NOT SHOW UP.. for some reason that is no longer possible, when I did not have Premium it...Full ReviewI used to be able to buy movies on google play, pay with my at&t account, and watch them on youtube on my ps4 or anything else with youtube app, all my existing purchases are still there but any new purchases DO NOT SHOW UP.. for some reason that is no longer possible, when I did not have Premium it worked fine now it's $#!+...why youtube??? Why?? I'm paying monthly premium for this?",,,,,,
Youtube,13,Brew Bear Brewer,29-Sep-20,1,96," Your ads are atrocious. You don't make me want to buy into anything of yours. You make me want to forget everything there is about YouTube. Like making me watch ads at the END of a video, making me think there's more video to watch after but then finding that I'm at the END... And now I need to watc...Full ReviewYour ads are atrocious. You don't make me want to buy into anything of yours. You make me want to forget everything there is about YouTube. Like making me watch ads at the END of a video, making me think there's more video to watch after but then finding that I'm at the END... And now I need to watch TWO MORE ads for another video? Stop shoving four ads in my face in between two videos. Get it together, YouTube.",,,,,,
Youtube,14,M2 Youtubers LBN,29-Sep-20,3,80," This application has many problems! I rated it 3 stars only because sometimes when I comment on videos, they put for me an unknown error has occured, and my comment gets delete alone, also when I subscribe to channels sometimes, they remove alone the subscription, and third,the number of subscribers...Full ReviewThis application has many problems! I rated it 3 stars only because sometimes when I comment on videos, they put for me an unknown error has occured, and my comment gets delete alone, also when I subscribe to channels sometimes, they remove alone the subscription, and third,the number of subscribers on my channel decreases alone also. From a while, the number of subscribers was 220,without of being in real someone unsubscribed from my channel, the number decreased to 120 alone also.",,,,,,
Youtube,15,Jonathan Kwok,29-Sep-20,1,137," Must be an update, now it takes 5 ads before a video can be played, good job guys👍🏻 Each single time a customer is forced to watch an ad, you guys are wasting more of people's live, isn't that exciting? The best is those moments when battery is running low and the customer is seeking for a crucial...Full ReviewMust be an update, now it takes 5 ads before a video can be played, good job guys👍🏻 Each single time a customer is forced to watch an ad, you guys are wasting more of people's live, isn't that exciting? The best is those moments when battery is running low and the customer is seeking for a crucial information, potentially putting their lives in danger, isn't tha",,,,,,
Youtube,16,Aioush Roy,28-Sep-20,4,71, YouTube is definitely good BUT let me suggest something:- there should be filters that is all videos should be under different categories which allows us to watch only those videos whose category we have chosen. This will be very useful for students who are preparing for their exams or are trying to...Full ReviewYouTube is definitely good BUT let me suggest something:- there should be filters that is all videos should be under different categories which allows us to watch only those videos whose category we have chosen. This will be very useful for students who are preparing for their exams or are trying to concentrate in their studies. Hoping that this filters will be available soon...,,,,,,
Youtube,17,Carmelo B,29-Sep-20,1,78," The home, library etc.are UNREADABLE (3pt font ... REALLY?🤨👎) this makes your 'accessibility' option in settings pointless. Please make the bottom of Home screen buttons readable. They are illegible on a standard 5.7ish inch phone screen. (Nokia 5. plus and Nokia 4.2). This is a comment not for me...Full ReviewThe home, library etc.are UNREADABLE (3pt font ... REALLY?🤨👎) this makes your 'accessibility' option in settings pointless. Please make the bottom of Home screen buttons readable. They are illegible on a standard 5.7ish inch phone screen. (Nokia 5. plus and Nokia 4.2). This is a comment not for me but two visually impaired smartphone novice family members. Since they cannot read the buttons they find the app difficult",,,,,,
Youtube,18,Hrishikesh Gopalakrishnan,28-Sep-20,1,69, I love YouTube but the new update is horrible. I can't view my own videos it always keeps showing couldn't process video and YouTube auto likes any video though I don't like it. This is a very bad. feature. My views also come down I don't know why.Youtube please fix this. -----I wrote this review on...Full ReviewI love YouTube but the new update is horrible. I can't view my own videos it always keeps showing couldn't process video and YouTube auto likes any video though I don't like it. This is a very bad. feature. My views also come down I don't know why.Youtube please fix this. -----I wrote this review one month ago and I am editing it now because I can't imagine google such big company can't even reply. What fame are you making for yourself google?? Hope you reply my review,,,,,,
Youtube,19,Spongebob's Soul,27-Sep-20,2,2224," Seriously?!? Some months ago I've written a review stating that youtube after 20 mins starts to lag, so I have to close it, wait some minutes and then reopen it. It's really annoying! It's been more than half a year now and I see that there are other people experiencing the same problems as me and t...Full ReviewSeriously?!? Some months ago I've written a review stating that youtube after 20 mins starts to lag, so I have to close it, wait some minutes and then reopen it. It's really annoying! It's been more than half a year now and I see that there are other people experiencing the same problems as me and there are literally no changes! What are reviews for you? Just there to be pretty or what?",,,,,,
Youtube,20,DigitalParallel,25-Sep-20,2,4714," Buffers every second on 60fps on my mobile network, and there is no option to disable high framerates. At first I thought it was my old phone/provider, but I just bought a new phone and switched to Verizon, yet I still have this issue. Due to the videos I watch, I cannot make out the small text at 4...Full ReviewBuffers every second on 60fps on my mobile network, and there is no option to disable high framerates. At first I thought it was my old phone/provider, but I just bought a new phone and switched to Verizon, yet I still have this issue. Due to the videos I watch, I cannot make out the small text at 480p, but the only options for hd are in 60fps. When searching this issue online, I was just met with a youtube rep saying ""You're phone's just slow."" Real helpful, considering it was made in 2019.",,,,,,
Youtube,21,abhirami nirmal,28-Sep-20,5,106, It is such a entertainment. I watch this app most of the time. If there is nothing to do u can always watch fun videos here. It is also my most used app in the phone. Just cool enough to describe. People who don't have this app should importantly install this app for entertainment and also there is ...Full ReviewIt is such a entertainment. I watch this app most of the time. If there is nothing to do u can always watch fun videos here. It is also my most used app in the phone. Just cool enough to describe. People who don't have this app should importantly install this app for entertainment and also there is other videos for studies. Every thing can be found here,,,,,,
Youtube,22,DaHanster,28-Sep-20,2,48," Hey Google, you guys need to fix the compatibility issues with the Samsung Galaxy Note 20 Ultra 5G. The YouTube app constantly crashes/freezes when viewing videos in picture-in-picture mode. I am a YouTube Premium subscriber and this issue is seriously making me reconsider my subscription with your ...Full ReviewHey Google, you guys need to fix the compatibility issues with the Samsung Galaxy Note 20 Ultra 5G. The YouTube app constantly crashes/freezes when viewing videos in picture-in-picture mode. I am a YouTube Premium subscriber and this issue is seriously making me reconsider my subscription with your service. Please fix this issue with the YouTube app asap.",,,,,,
