App,ID,Author,Date,Rating,Helpful Count,Review,,
Skype,1, NM Mahboob Mojaz ," September 26, 2020 ",4,20,"  It's very secure, fast and reliable, there is several issues and I hope developers fixing in next updates 1. Online status not working at the same moment, there is 3 minutes delay, for example I'll close Skype now, still showing me online until next 3 minutes 2. Sometimes show Skype status a long ti...Full ReviewIt's very secure, fast and reliable, there is several issues and I hope developers fixing in next updates 1. Online status not working at the same moment, there is 3 minutes delay, for example I'll close Skype now, still showing me online until next 3 minutes 2. Sometimes show Skype status a long time ago, this situation happened between me and my wife, we were in chat after 30 minutes inactivity instead showing 30 min ago, show a long time ago And more, I'll send to developers email",,
Skype,2, Adrian Wagemans ," September 26, 2020 ",5,25,"  Great way to communicate, I Skype from Australia to the USA daily and now in the USA. There has appeared some advertisement on the address page which is annoying and I cannot get rid of. It also disturbs me that the adverts relate to my interests and I thought that phone calls were private. There is...Full ReviewGreat way to communicate, I Skype from Australia to the USA daily and now in the USA. There has appeared some advertisement on the address page which is annoying and I cannot get rid of. It also disturbs me that the adverts relate to my interests and I thought that phone calls were private. There is often a problem with the video fragmenting but that appears to be related to the cable system in the USA which gives a much slower service than in Australia. Can't be helped.",,
Skype,3, Valeria Kozyrev ," September 24, 2020 ",1,118,"  It was a good app and service before microsoft bought it! Now my account is blocked by microsoft(!)! No customer support! In support chat, they write they've got technical problems and for further help I need to sign in(which I can't!)! They created a new account for me which I don't need since I've...Full ReviewIt was a good app and service before microsoft bought it! Now my account is blocked by microsoft(!)! No customer support! In support chat, they write they've got technical problems and for further help I need to sign in(which I can't!)! They created a new account for me which I don't need since I've already got an account! I don't need new! I need full access to my old one with my contacts and history and (yes!) money I paid (apperantly, the account is not blocked for paying money to!).",,
Skype,4, Terione Martin ," September 26, 2020 ",3,2,"  I use this app alot, but after the update, my audio will go out after having the app in the background for less than 10 minutes while on a call. Messages also won't go through unless the app is open in the background. Subtitles also sometimes cuts my audio off if captions are on.",,
Skype,5, Madhulata Panda ," September 24, 2020 ",5,99,  It's the best app it's really very useful I ever rate any aap but it was the best that's why I thought of rating Skype. Yes as it asked me to help improve it however Skype does not need improvement however if I see than I think only 3 thing is their to improve - (i) allow to quote videos and photos ...Full ReviewIt's the best app it's really very useful I ever rate any aap but it was the best that's why I thought of rating Skype. Yes as it asked me to help improve it however Skype does not need improvement however if I see than I think only 3 thing is their to improve - (i) allow to quote videos and photos (ii) allow reacting with more emotions ( till now allowing only 30) (iii) allow to see more than 5 people face in phone,,
Skype,6, Adam Bobro ," September 21, 2020 ",1,191,"  Absolutely ZERO technical/customer support for this app. I have been having freezing issues forever now on my xbox one, and the only thing in technical support matters I can find is at the end of each failed video call, there is a technical issue ""survey"". Why is there no technical support number to...Full ReviewAbsolutely ZERO technical/customer support for this app. I have been having freezing issues forever now on my xbox one, and the only thing in technical support matters I can find is at the end of each failed video call, there is a technical issue ""survey"". Why is there no technical support number to call? This is pathetic.",,
Skype,7, Henry Meisters ," September 22, 2020 ",3,1446,"  This app is like a lottery some days. It is up to the mood of the app. Some days are great, while other days are a catastrophe. Needs to be more reliable. If there are once any distortions, the network will not become stable again. Meeting needs to be ended and restarted.",,
Skype,8, Neil Judge ," September 22, 2020 ",1,50,  Terrible recovery and new device detection. I tried to log into my Skype to check if it would work for my appointment. Long story short I am now locked out as Microsoft verifies my identity over the next 24 hours. Couldn't even email the address I was using to recover my account. Will not recommend....Full ReviewTerrible recovery and new device detection. I tried to log into my Skype to check if it would work for my appointment. Long story short I am now locked out as Microsoft verifies my identity over the next 24 hours. Couldn't even email the address I was using to recover my account. Will not recommend. Really dropped the ball on COVID MS... had a real opportunity here. Now G meetings and Zoom have all of your markets have from me.,,
Skype,9, Md. Muhtaseem Khan ," September 24, 2020 ",1,40,  App's screen gets stuck after taking a picture and can't seem to take & send a picture. Low end device optimisation required. Splash screen is shown for a long time please reduce it and maybe make it comply with dark mode when dark theme is selected. Lacking in ease of use unlike Skype lite also how...Full ReviewApp's screen gets stuck after taking a picture and can't seem to take & send a picture. Low end device optimisation required. Splash screen is shown for a long time please reduce it and maybe make it comply with dark mode when dark theme is selected. Lacking in ease of use unlike Skype lite also how to do full screen. Laggy control popup and needs low end device optimisations and pretty unresponsive. App struggles a lot on low clock speed cpus please optimise it,,
Skype,10, andreas bittner ," September 22, 2020 ",4,13,"  Update as of.Sept. 22, 2020: a skype update for android now fixed my constant crash in a certain chat. - old: crashes in a single chat as of a message the other party sent me. always crashes in that faulty buggy thread/content. :((((",,
Skype,11, Tom M ," September 16, 2020 ",1,262,"  Since Microsoft got hold of Skype it's just got more unreliable and M'soft do nothing to improve it. M'soft's attitude is - do nothing and ""sod the users"". This is proven when no response from Microsoft SKYPE app team is ever given to a reviewer explaining the many problems experienced. So many revi...Full ReviewSince Microsoft got hold of Skype it's just got more unreliable and M'soft do nothing to improve it. M'soft's attitude is - do nothing and ""sod the users"". This is proven when no response from Microsoft SKYPE app team is ever given to a reviewer explaining the many problems experienced. So many reviewers have pointed out Skype 'Upgrade's' are a lottery to see what else they have fuxxed up. I recommend everyone move to WhatsApp and WeChat both of which are LIGHT YEARS AHEAD of Skype.",,
Skype,12, Silvia Manandhar ," September 16, 2020 ",2,211,  It was working good till yesterday but I have some difficulties opening it today. I had 2 accounts for my classes but it shows something like: you have been loged out for your security. I just now made 2 new accounts and j have to again be added in all groups and it is like a mess now.,,
Skype,13, Nadia Sultana ," September 24, 2020 ",5,3,"  This is one of the most useful app for me in 21st century. Honestly, Skype has very standard features, it is helping me a lot in the pandemic of Covid-19 Skype has clear audio, great translation, great subtitle tool and good camera I recommend everyone to use this app",,
Skype,14, Saurabh Bikram Adhikari ," September 15, 2020 ",1,230,  First thing first It was once best video calling app before MS acquired but it is trash video quality is worst even in good network or wifi ...before it used to be best even in average network but now video calls are blurry and unrecognizable...u guys have ruined it totally...pathetic work from ms t...Full ReviewFirst thing first It was once best video calling app before MS acquired but it is trash video quality is worst even in good network or wifi ...before it used to be best even in average network but now video calls are blurry and unrecognizable...u guys have ruined it totally...pathetic work from ms teams.....bring that skype which was before 3 4 yrs back,,
Skype,15, Khayam Inamdar ," September 22, 2020 ",3,3,"  It's a nice app but there's problems with this app, I started recording and came to another tab the recording stopped and was in the group chat please fix it, and please make the messages pop up.",,
Skype,16, Lemuel Davy ," September 26, 2020 ",5,1,"  Very useful. I have been using Skype for years , I still do. Skype calling subscriptions have also helped me when I need to call home from overseas, for example family and business numbers such as landline etc.",,
Skype,17, Arthur Poghosyan ," September 23, 2020 ",1,19,  I can't quote on an only image message. Sometimes i need to reply to those kind of messages. Overall the all is awfully buggy I cannot download a video thats been posted in the group! It says Video saved but nothing is downloaded at all,,
Skype,18, Jennifer Oleson ," September 26, 2020 ",2,2,"  Skype has quit ringing on my tablet (and my mother's too) when it's closed/sleeping. Now, I'll see a notification that I missed a call when I open my tablet and the app will be open, but it's impossible to pick up a call unless I happen to be using the tablet at the time. I have asked people to let ...Full ReviewSkype has quit ringing on my tablet (and my mother's too) when it's closed/sleeping. Now, I'll see a notification that I missed a call when I open my tablet and the app will be open, but it's impossible to pick up a call unless I happen to be using the tablet at the time. I have asked people to let me know they're calling via messenger bc it rings. I did not change any settings to have caused this, and have since clicked every notification permission I can find, but it still won't ring.",,
Skype,19, Khadijah Pangandaman ," September 26, 2020 ",3,0,"  When I put the ongoing call on the background and I use other app, it slows down my phone's performance. also heats up my phone for some reason.",,
